"","year","state","n_counties","state_total_count","countystat","1st_quantile","3rd_quantile","max","mean","median","minimum","var","sd","state_avg_income","state_p_farm_income","state_poverty_count","state_poverty_rate","state_empl_count","state_empl_rate","violent_crime","state_vcrime_rate","property_crime","state_pcrime_rate"
"1","2013","AK",27,696398,"empl_count",2050,10151,209374,16864,3715,476,1656694312.02564,40702.5098983544,52259,-0.00298815716123651,67116,0.0963759229635927,461110,0.662135732727549,4709,0.00676193785737466,21211,0.030458157547839
"2","2013","AK",27,696398,"farm_income",0,0,1840,-390.1,0,-8441,3394813.33333333,1842.50192220614,52259,-0.00298815716123651,67116,0.0963759229635927,461110,0.662135732727549,4709,0.00676193785737466,21211,0.030458157547839
"3","2013","AK",27,696398,"income",43207,59896,110017,54759,50145,35966,281708987.230769,16784.1886080552,52259,-0.00298815716123651,67116,0.0963759229635927,461110,0.662135732727549,4709,0.00676193785737466,21211,0.030458157547839
"4","2013","AK",27,696398,"nonfarm_income",14180,115188,1677735,128449,21266,7101,105047581769.576,324110.446868927,52259,-0.00298815716123651,67116,0.0963759229635927,461110,0.662135732727549,4709,0.00676193785737466,21211,0.030458157547839
"5","2013","AK",27,696398,"p_farm_income",0,0,0.092037,0.001414,0,-0.043653,0.000402034479275364,0.0200507974723043,52259,-0.00298815716123651,67116,0.0963759229635927,461110,0.662135732727549,4709,0.00676193785737466,21211,0.030458157547839
"6","2013","AK",27,696398,"empl_rate",0.5623,0.7809,1.8792,0.7662,0.7362,0.3893,0.112083816364595,0.334789211840219,52259,-0.00298815716123651,67116,0.0963759229635927,461110,0.662135732727549,4709,0.00676193785737466,21211,0.030458157547839
"7","2013","AK",27,696398,"poverty_rate",0.08346,0.1591,0.27723,0.12769,0.10227,0.05473,0.00381208501052934,0.0617420845981842,52259,-0.00298815716123651,67116,0.0963759229635927,461110,0.662135732727549,4709,0.00676193785737466,21211,0.030458157547839
"8","2013","AK",27,696398,"poverty_count",311.5,1796.5,22874,2466.9,886,36,21707407.3019943,4659.1208722241,52259,-0.00298815716123651,67116,0.0963759229635927,461110,0.662135732727549,4709,0.00676193785737466,21211,0.030458157547839
"9","2013","AK",27,696398,"total_count",2423,13414,288613,25652,6970,607,3379546576.5641,58133.8677241081,52259,-0.00298815716123651,67116,0.0963759229635927,461110,0.662135732727549,4709,0.00676193785737466,21211,0.030458157547839
"10","2013","AL",67,4682976,"empl_count",6018,32498,448365,37662,14190,2260,4796052998.60877,69253.5414156473,36067,0.153342029455487,870631,0.185914042694218,2523338,0.538832144345818,20834,0.00444888037008945,161835,0.034558152764396
"11","2013","AL",67,4682976,"farm_income",12210,34807,97697,27369,25422,1102,423784066.858435,20586.0162940389,36067,0.153342029455487,870631,0.185914042694218,2523338,0.538832144345818,20834,0.00444888037008945,161835,0.034558152764396
"12","2013","AL",67,4682976,"income",29638,34068,46033,32199,31341,26126,15571360.627318,3946.05633858894,36067,0.153342029455487,870631,0.185914042694218,2523338,0.538832144345818,20834,0.00444888037008945,161835,0.034558152764396
"13","2013","AL",67,4682976,"nonfarm_income",26604,152080,3435486,178486,53160,4948,199764277082.692,446949.971565825,36067,0.153342029455487,870631,0.185914042694218,2523338,0.538832144345818,20834,0.00444888037008945,161835,0.034558152764396
"14","2013","AL",67,4682976,"p_farm_income",0.11841,0.769639,6.064673,0.735067,0.386901,0.003087,1.22752785719936,1.10793856201477,36067,0.153342029455487,870631,0.185914042694218,2523338,0.538832144345818,20834,0.00444888037008945,161835,0.034558152764396
"15","2013","AL",67,4682976,"empl_rate",0.3543,0.4861,0.7677,0.436,0.4241,0.2071,0.01180025530353,0.108628980035394,36067,0.153342029455487,870631,0.185914042694218,2523338,0.538832144345818,20834,0.00444888037008945,161835,0.034558152764396
"16","2013","AL",67,4682976,"poverty_rate",0.18085,0.2429,0.39205,0.21512,0.2088,0.07939,0.00352908797337338,0.0594061274059619,36067,0.153342029455487,870631,0.185914042694218,2523338,0.538832144345818,20834,0.00444888037008945,161835,0.034558152764396
"17","2013","AL",67,4682976,"poverty_count",4656,14434,115966,12994,7446,2211,320163482.73858,17893.1127179868,36067,0.153342029455487,870631,0.185914042694218,2523338,0.538832144345818,20834,0.00444888037008945,161835,0.034558152764396
"18","2013","AL",67,4682976,"total_count",17830,78902,644513,69895,33755,8891,10365460828.109,101810.907215823,36067,0.153342029455487,870631,0.185914042694218,2523338,0.538832144345818,20834,0.00444888037008945,161835,0.034558152764396
"19","2013","AR",75,2849641,"empl_count",4849,19931,315352,20923,8735,1973,1773238238.49081,42109.8354127728,35995,0.313299019389566,547328,0.192069106248822,1569249,0.550683050952734,13705,0.00480937774267004,106477,0.0373650575633913
"20","2013","AR",75,2849641,"farm_income",6826,44116,104906,28894,21839,-2014,730892396.631712,27035.0216687857,35995,0.313299019389566,547328,0.192069106248822,1569249,0.550683050952734,13705,0.00480937774267004,106477,0.0373650575633913
"21","2013","AR",75,2849641,"income",27919,33082,63336,31231,30575,24724,28852940.2673874,5371.49329957577,35995,0.313299019389566,547328,0.192069106248822,1569249,0.550683050952734,13705,0.00480937774267004,106477,0.0373650575633913
"22","2013","AR",75,2849641,"nonfarm_income",20723,74864,1206182,92226,37399,4743,28738227899.7106,169523.53199397,35995,0.313299019389566,547328,0.192069106248822,1569249,0.550683050952734,13705,0.00480937774267004,106477,0.0373650575633913
"23","2013","AR",75,2849641,"p_farm_income",0.12294,1.17841,3.943,0.82317,0.47608,-0.02901,0.851819183293907,0.922940509076239,35995,0.313299019389566,547328,0.192069106248822,1569249,0.550683050952734,13705,0.00480937774267004,106477,0.0373650575633913
"24","2013","AR",75,2849641,"empl_rate",0.3905,0.5182,0.8296,0.4611,0.4431,0.2304,0.0113864935481436,0.106707514019133,35995,0.313299019389566,547328,0.192069106248822,1569249,0.550683050952734,13705,0.00480937774267004,106477,0.0373650575633913
"25","2013","AR",75,2849641,"poverty_rate",0.18211,0.24819,0.33548,0.21665,0.21463,0.08607,0.00276133172959828,0.0525483751375652,35995,0.313299019389566,547328,0.192069106248822,1569249,0.550683050952734,13705,0.00480937774267004,106477,0.0373650575633913
"26","2013","AR",75,2849641,"poverty_count",2824,7098,65283,7298,4125,777,91831842.8317117,9582.89323908556,35995,0.313299019389566,547328,0.192069106248822,1569249,0.550683050952734,13705,0.00480937774267004,106477,0.0373650575633913
"27","2013","AR",75,2849641,"total_count",12194,38507,380137,37995,18530,5211,3186096602.62955,56445.5188888325,35995,0.313299019389566,547328,0.192069106248822,1569249,0.550683050952734,13705,0.00480937774267004,106477,0.0373650575633913
"28","2013","AZ",15,6333794,"empl_count",20592,84867,2289203,224748,53141,6078,340148957622.495,583222.905605134,36664,0.0446370777322727,1131901,0.178708211855327,3371219,0.532259022001663,27576,0.00435378858232522,223294,0.0352543830759257
"29","2013","AZ",15,6333794,"farm_income",-79,22750,368474,46782,5578,-4732,9949539176.55238,99747.3767903316,36664,0.0446370777322727,1131901,0.178708211855327,3371219,0.532259022001663,27576,0.00435378858232522,223294,0.0352543830759257
"30","2013","AZ",15,6333794,"income",27451,34814,39451,31463,31300,26096,20545886.7809524,4532.75708382353,36664,0.0446370777322727,1131901,0.178708211855327,3371219,0.532259022001663,27576,0.00435378858232522,223294,0.0352543830759257
"31","2013","AZ",15,6333794,"nonfarm_income",54414,403735,10477663,1048055,237192,9327,7225338696109.7,2687999.01341308,36664,0.0446370777322727,1131901,0.178708211855327,3371219,0.532259022001663,27576,0.00435378858232522,223294,0.0352543830759257
"32","2013","AZ",15,6333794,"p_farm_income",-0.001835,0.178206,0.920311,0.132298,0.013192,-0.129754,0.0648855863577258,0.254726493238779,36664,0.0446370777322727,1131901,0.178708211855327,3371219,0.532259022001663,27576,0.00435378858232522,223294,0.0352543830759257
"33","2013","AZ",15,6333794,"empl_rate",0.3785,0.4733,0.7132,0.4445,0.4264,0.245,0.0149109405866654,0.122110362323045,36664,0.0446370777322727,1131901,0.178708211855327,3371219,0.532259022001663,27576,0.00435378858232522,223294,0.0352543830759257
